용도,면적,국적,허가,구,동,연도
기타,220.0,미국,0.0,덕양구,화전동,19
기타,227.0,미국,0.0,덕양구,화전동,19
기타,363.0,미국,0.0,덕양구,화전동,19
기타,464.0,미국,0.0,덕양구,화전동,19
기타,839.0,미국,0.0,덕양구,화전동,19
주택용지(그 밖의 주택),38.32,중국,0.0,덕양구,고양동,19
주택용지(단독주택),340.0,캐나다,0.0,덕양구,삼송동,19
주택용지(아파트),32.2,미국,0.0,덕양구,토당동,19
주택용지(그 밖의 주택),37.82,중국,0.0,덕양구,주교동,19
주택용지(그 밖의 주택),28.91,미국,0.0,덕양구,행신동,19
주택용지(아파트),10.048863,오스트레일리아,0.0,덕양구,화정동,19
주택용지(아파트),10.050137,오스트레일리아,0.0,덕양구,화정동,19
주택용지(아파트),34.927,미국,0.0,덕양구,화정동,19
기타,14925.5,오스트레일리아,0.0,덕양구,현천동,19
주택용지(그 밖의 주택),24.2577,미국,0.0,덕양구,동산동,19
주택용지(아파트),35.156,중국,0.0,덕양구,화정동,19
주택용지(그 밖의 주택),24.2577,미국,1.0,덕양구,동산동,19
기타,57.179487,미국,0.0,덕양구,주교동,19
기타,10.128205,미국,0.0,덕양구,주교동,19
기타,86.923077,미국,0.0,덕양구,주교동,19
기타,552.179487,미국,0.0,덕양구,주교동,19
주택용지(그 밖의 주택),30.48,미국,0.0,덕양구,주교동,19
주택용지(아파트),35.156,중국,0.0,덕양구,화정동,19
주택용지(아파트),37.03,중국,0.0,덕양구,주교동,19
주택용지(아파트),25.26,미국,0.0,덕양구,토당동,19
주택용지(아파트),14.41,러시아,0.0,덕양구,행신동,19
주택용지(아파트),14.41,러시아,0.0,덕양구,행신동,19
주택용지(그 밖의 주택),16.9758,미국,0.0,덕양구,동산동,19
주택용지(아파트),51.33,미국,0.0,덕양구,도내동,19
주택용지(아파트),35.156,미국,0.0,덕양구,화정동,19
주택용지(그 밖의 주택),29.33,중국,0.0,덕양구,성사동,19
주택용지(아파트),43.818,미국,0.0,덕양구,화정동,19
주택용지(그 밖의 주택),7.4787,미국,0.0,덕양구,원흥동,19
주택용지(그 밖의 주택),16.83,미국,0.0,덕양구,원흥동,19
주택용지(아파트),35.121,일본,0.0,덕양구,화정동,19
주택용지(아파트),9.245,중국,0.0,덕양구,주교동,19
주택용지(아파트),7.71278,미국,0.0,덕양구,행신동,19
주택용지(아파트),19.85572,미국,0.0,덕양구,행신동,19
기타,37.44,미국,0.0,덕양구,원당동,19
기타,51.33,미국,0.0,덕양구,원당동,19
기타,462.0,미국,0.0,덕양구,원당동,19
기타,462.0,미국,0.0,덕양구,원당동,19
기타,473.78,미국,0.0,덕양구,원당동,19
기타,37.44,미국,0.0,덕양구,원당동,19
기타,51.33,미국,0.0,덕양구,원당동,19
기타,462.0,미국,0.0,덕양구,원당동,19
기타,462.0,미국,0.0,덕양구,원당동,19
기타,473.78,미국,0.0,덕양구,원당동,19
기타,1197.0,일본,0.0,덕양구,내유동,19
주택용지(단독주택),46.6667,오스트레일리아,0.0,덕양구,주교동,19
기타,14.9662,중국,0.0,덕양구,삼송동,19
기타,1.0,미국,0.0,덕양구,삼송동,19
기타,12.0,미국,0.0,덕양구,삼송동,19
기타,106.0,미국,0.0,덕양구,삼송동,19
기타,1.2308,미국,0.0,덕양구,삼송동,19
기타,12.9231,미국,0.0,덕양구,삼송동,19
기타,15.5385,미국,0.0,덕양구,삼송동,19
기타,25.1538,미국,0.0,덕양구,삼송동,19
기타,50.3077,미국,0.0,덕양구,삼송동,19
기타,62.7692,미국,0.0,덕양구,삼송동,19
기타,108.3077,미국,0.0,덕양구,삼송동,19
기타,254.5385,미국,0.0,덕양구,삼송동,19
주택용지(아파트),37.03,중국,0.0,덕양구,주교동,19
기타,1197.0,일본,1.0,덕양구,내유동,19
기타,14.9662,중국,1.0,덕양구,삼송동,19
주택용지(그 밖의 주택),16.59,중국,0.0,덕양구,주교동,19
주택용지(단독주택),7.6282,미국,0.0,덕양구,주교동,19
주택용지(아파트),39.383,중국,0.0,덕양구,성사동,19
주택용지(그 밖의 주택),68.5,중국,0.0,덕양구,관산동,19
주택용지(그 밖의 주택),60.15,중국,0.0,덕양구,삼송동,19
주택용지(그 밖의 주택),1729.93,미국,0.0,덕양구,원흥동,19
기타,18.722,미국,0.0,덕양구,원당동,19
기타,25.667,미국,0.0,덕양구,원당동,19
기타,959.33,미국,0.0,덕양구,원당동,19
기타,236.889,미국,0.0,덕양구,원당동,19
주택용지(그 밖의 주택),4.092015,중국,0.0,덕양구,행신동,19
주택용지(그 밖의 주택),4.153985,중국,0.0,덕양구,행신동,19
주택용지(아파트),30.0,미국,0.0,덕양구,행신동,19
주택용지(그 밖의 주택),21.23,중국,0.0,덕양구,주교동,19
주택용지(그 밖의 주택),40.14,미국,0.0,덕양구,행신동,19
주택용지(그 밖의 주택),12.12885,중국,0.0,덕양구,동산동,19
주택용지(그 밖의 주택),12.12885,중국,0.0,덕양구,동산동,19
기타,12.1289,중국,1.0,덕양구,동산동,19
기타,12.1289,중국,1.0,덕양구,동산동,19
주택용지(그 밖의 주택),37.75,중국,1.0,덕양구,내유동,19
주택용지(그 밖의 주택),40.375,중국,1.0,덕양구,내유동,19
기타,2.241,캐나다,0.0,덕양구,성사동,19
기타,3.152,캐나다,0.0,덕양구,성사동,19
주택용지(그 밖의 주택),11.08485,미국,0.0,덕양구,동산동,19
주택용지(아파트),25.7375,오스트레일리아,0.0,덕양구,화정동,19
주택용지(그 밖의 주택),10.489,중국,0.0,덕양구,주교동,19
기타,16.9084,미국,0.0,덕양구,동산동,19
주택용지(아파트),25.8492,말레이지아,0.0,덕양구,향동동,19
주택용지(그 밖의 주택),37.75,중국,1.0,덕양구,내유동,19
주택용지(그 밖의 주택),40.375,중국,1.0,덕양구,내유동,19
주택용지(그 밖의 주택),16.9084,미국,1.0,덕양구,동산동,19
주택용지(아파트),25.8492,말레이지아,1.0,덕양구,향동동,19
주택용지(그 밖의 주택),14.8911,미국,0.0,덕양구,삼송동,19
주택용지(아파트),30.714,미국,0.0,덕양구,행신동,19
기타,340.32,미국,0.0,덕양구,성사동,19
기타,399.12,미국,0.0,덕양구,성사동,19
